country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Brunei,2000,BRN,326429.0,,0.0,0.0,5.886,-0.092,-1.537,6.965,-0.069,-0.98,21.338,,0.354,18.032,,0.299,,,3.542,10.85,,0.0,221.085,281.498,,72.91,91.139,78.712,57.032,,60239.23,,0.284,0.87,4.203,12.874,24.885,28.24,1.079,3.306,2.223,6.811,0.085,0.259,1.4,4.288,,,19.664,0.0,0.023,0.022,,0.0,0.021,0.016,,0.647,0.075,0.01,0.016,,0.082,0.089,0.018,0.014,,0.017,0.0,0.0,0.0,0.0,9.218,8.123,-2.344,-39.83
Brunei,2001,BRN,333353.0,,0.0,0.0,5.758,-0.128,-2.178,6.8,-0.165,-2.373,20.399,,0.304,17.273,,0.258,,,3.521,10.562,,0.0,226.843,288.298,,73.296,95.039,79.754,58.504,,67067.914,,0.386,1.158,3.9,11.699,25.281,28.66,1.042,3.126,2.657,7.97,0.09,0.269,1.472,4.416,,,22.357,0.0,0.022,0.022,,0.0,0.021,0.016,,0.632,0.075,0.01,0.016,,0.116,0.082,0.019,0.014,,0.017,0.0,0.0,0.0,0.0,9.554,8.428,-2.237,-38.852
Brunei,2002,BRN,340108.0,,0.0,0.0,5.285,-0.473,-8.206,6.263,-0.537,-7.894,18.415,,0.24,15.54,,0.202,,,3.569,10.493,,0.0,232.128,294.561,,73.547,98.74,80.732,59.837,,76759.656,,0.251,0.738,3.701,10.881,21.827,25.042,0.978,2.875,2.125,6.248,0.086,0.254,1.334,3.921,,,26.107,0.0,0.02,0.019,,0.0,0.021,0.016,,0.617,0.075,0.01,0.016,,0.078,0.075,0.016,0.013,,0.017,0.0,0.0,0.0,0.0,8.517,7.424,-1.717,-32.479
Brunei,2003,BRN,346650.0,,0.0,0.0,6.14,0.854,16.162,7.199,0.935,14.934,20.766,,0.267,17.711,,0.227,,,5.623,16.221,,0.0,238.268,301.759,,73.806,103.243,81.791,61.215,,77912.984,,0.259,0.747,4.503,12.99,24.178,27.695,1.059,3.055,2.228,6.427,0.094,0.272,1.378,3.974,,,27.009,0.0,0.022,0.021,,0.0,0.021,0.016,,0.602,0.076,0.01,0.015,,0.075,0.088,0.014,0.013,,0.018,0.0,0.0,0.0,0.0,9.6,8.381,-0.516,-8.412
Brunei,2004,BRN,352921.0,,0.0,0.0,5.967,-0.173,-2.817,6.743,-0.456,-6.329,19.106,,0.225,16.907,,0.199,,,5.458,15.466,,0.0,244.234,308.503,,73.983,107.698,82.567,62.549,,84982.734,,0.178,0.503,4.455,12.624,22.324,25.008,0.776,2.2,1.896,5.371,0.1,0.283,1.334,3.779,,,29.992,0.0,0.021,0.019,,0.0,0.021,0.016,,0.587,0.076,0.01,0.015,,0.052,0.085,0.012,0.012,,0.018,0.0,0.0,0.0,0.0,8.826,7.879,-0.508,-8.519
Brunei,2005,BRN,358930.0,,0.0,0.0,5.429,-0.538,-9.019,6.158,-0.585,-8.681,17.155,,0.182,15.124,,0.161,,,4.974,13.858,,0.0,249.663,314.66,,74.147,111.905,83.296,63.608,,94131.758,,0.163,0.455,4.206,11.719,20.249,22.9,0.729,2.031,1.826,5.088,0.094,0.263,1.059,2.95,,,33.787,0.0,0.018,0.017,,0.0,0.021,0.016,,0.572,0.076,0.01,0.015,,0.047,0.078,0.012,0.01,,0.018,0.0,0.0,0.0,0.0,8.22,7.268,-0.455,-8.374
Brunei,2006,BRN,364670.0,,0.0,0.0,7.144,1.715,31.596,7.936,1.779,28.883,21.763,,0.152,19.589,,0.137,,,5.495,15.068,,0.0,256.807,322.596,,74.443,117.782,84.089,64.579,,142785.906,,0.296,0.811,5.877,16.116,26.428,29.095,0.792,2.173,2.47,6.773,0.11,0.303,0.971,2.663,,,52.07,0.0,0.023,0.022,,0.0,0.021,0.016,,0.56,0.077,0.01,0.015,,0.085,0.106,0.013,0.009,,0.018,0.0,0.0,0.0,0.0,10.61,9.638,-1.649,-23.079
Brunei,2007,BRN,370883.0,,0.0,0.0,8.077,0.933,13.061,9.198,1.262,15.904,24.801,,0.168,21.777,,0.148,,,6.414,17.294,,0.0,264.883,331.795,,74.733,123.721,85.21,66.425,,147383.641,,0.291,0.784,5.939,16.014,28.359,31.686,1.122,3.024,2.418,6.519,0.116,0.314,1.847,4.979,,,54.662,0.0,0.026,0.025,,0.0,0.021,0.016,,0.548,0.078,0.01,0.015,,0.085,0.104,0.02,0.017,,0.018,0.0,0.0,0.0,0.0,11.752,10.518,-1.663,-20.587
Brunei,2008,BRN,377800.0,,0.0,0.0,9.166,1.089,13.482,10.358,1.16,12.606,27.416,,0.184,24.26,,0.163,,,6.839,18.103,,0.0,274.049,342.152,,75.351,130.214,86.403,68.481,,148600.297,,0.617,1.634,6.493,17.185,34.352,37.697,1.192,3.156,3.787,10.024,0.117,0.309,2.056,5.441,,,56.141,0.0,0.029,0.027,,0.0,0.021,0.016,,0.539,0.079,0.011,0.015,,0.185,0.11,0.02,0.018,,0.018,0.0,0.0,0.0,0.0,14.242,12.978,-2.326,-25.381
Brunei,2009,BRN,384965.0,,0.0,0.0,7.745,-1.421,-15.5,9.54,-0.818,-7.895,24.782,,0.256,20.119,,0.208,,,6.761,17.562,,0.0,281.794,351.692,,75.745,135.81,88.198,70.235,,96748.219,,0.395,1.025,5.596,14.536,27.438,32.198,1.795,4.663,2.799,7.27,0.109,0.283,1.754,4.557,,,37.245,0.0,0.025,0.025,,0.0,0.022,0.017,,0.53,0.08,0.011,0.015,,0.12,0.097,0.027,0.016,,0.019,0.0,0.0,0.0,0.0,12.395,10.563,-0.984,-12.709
