country,start_period,end_period,start_value,end_value,change_value,change_pct,metric,unit,aggregation_type
Indonesia,2000,2020,311.2595,694.15725,382.89775,123.0156027366233,CO2 Total,tonnes,average_annual
Vietnam,2000,2020,65.42750000000001,336.712,271.2845,414.63375491956737,CO2 Total,tonnes,average_annual
Malaysia,2000,2020,134.79749999999999,273.418,138.62050000000002,102.83610601086819,CO2 Total,tonnes,average_annual
Thailand,2000,2020,178.843,269.09299999999996,90.24999999999997,50.46325548106439,CO2 Total,tonnes,average_annual
Philippines,2000,2020,70.06475,145.9175,75.85274999999999,108.26093006825826,CO2 Total,tonnes,average_annual
Myanmar,2000,2020,9.6,31.82625,22.22625,231.52343750000003,CO2 Total,tonnes,average_annual
Laos,2000,2020,1.1015,21.70925,20.60775,1870.880617339991,CO2 Total,tonnes,average_annual
Cambodia,2000,2020,2.15975,21.010749999999998,18.851,872.8325037620095,CO2 Total,tonnes,average_annual
Singapore,2000,2020,38.909,49.2005,10.2915,26.450178621912666,CO2 Total,tonnes,average_annual
Brunei,2000,2020,5.76725,11.9015,6.134250000000001,106.36351814122851,CO2 Total,tonnes,average_annual
Vietnam,2000,2020,7.4605,55.650999999999996,48.1905,645.9419609945714,CO2 from Cement,tonnes,average_annual
Indonesia,2000,2020,17.42575,30.1635,12.737749999999998,73.0972841914982,CO2 from Cement,tonnes,average_annual
Cambodia,2000,2020,0.0,5.81925,5.81925,,CO2 from Cement,tonnes,average_annual
Philippines,2000,2020,4.4072499999999994,9.377749999999999,4.9704999999999995,112.78007828010665,CO2 from Cement,tonnes,average_annual
Malaysia,2000,2020,6.948,11.74575,4.797749999999999,69.05224525043175,CO2 from Cement,tonnes,average_annual
Laos,2000,2020,0.06725,4.40525,4.338,6450.557620817844,CO2 from Cement,tonnes,average_annual
Thailand,2000,2020,17.499499999999998,20.83,3.3305000000000007,19.031972342066922,CO2 from Cement,tonnes,average_annual
Myanmar,2000,2020,0.18125,2.75725,2.576,1421.2413793103449,CO2 from Cement,tonnes,average_annual
Brunei,2000,2020,0.0,0.0,0.0,,CO2 from Cement,tonnes,average_annual
Singapore,2000,2020,0.0,0.0,0.0,,CO2 from Cement,tonnes,average_annual
Indonesia,2000,2020,67.9225,351.82399999999996,283.90149999999994,417.9785785269976,CO2 from Coal,tonnes,average_annual
Vietnam,2000,2020,26.284,193.73375,167.44975,637.0786409983259,CO2 from Coal,tonnes,average_annual
Malaysia,2000,2020,12.140999999999998,90.838,78.697,648.1920764352196,CO2 from Coal,tonnes,average_annual
Philippines,2000,2020,15.20325,75.86525,60.662000000000006,399.00679131106835,CO2 from Coal,tonnes,average_annual
Thailand,2000,2020,37.264250000000004,70.14574999999999,32.88149999999999,88.23872746667378,CO2 from Coal,tonnes,average_annual
Laos,2000,2020,0.06925,14.61475,14.5455,21004.3321299639,CO2 from Coal,tonnes,average_annual
Myanmar,2000,2020,1.19,3.343,2.153,180.92436974789916,CO2 from Coal,tonnes,average_annual
Singapore,2000,2020,0.00725,1.56175,1.5545,21441.379310344826,CO2 from Coal,tonnes,average_annual
Brunei,2000,2020,,2.6365,,,CO2 from Coal,tonnes,average_annual
Cambodia,2000,2020,,5.906,,,CO2 from Coal,tonnes,average_annual
Malaysia,2000,2020,2.77825,3.574,0.79575,28.64213083775758,CO2 from Flaring,tonnes,average_annual
Thailand,2000,2020,0.30374999999999996,0.4775,0.17375000000000002,57.20164609053499,CO2 from Flaring,tonnes,average_annual
Philippines,2000,2020,0.05325,0.14125,0.088,165.2582159624413,CO2 from Flaring,tonnes,average_annual
Cambodia,2000,2020,0.0,0.006,0.006,,CO2 from Flaring,tonnes,average_annual
Laos,2000,2020,0.0,0.0,0.0,,CO2 from Flaring,tonnes,average_annual
Singapore,2000,2020,0.0,0.0,0.0,,CO2 from Flaring,tonnes,average_annual
Myanmar,2000,2020,0.0545,0.03325,-0.021249999999999998,-38.990825688073386,CO2 from Flaring,tonnes,average_annual
Brunei,2000,2020,0.295,0.269,-0.025999999999999968,-8.813559322033889,CO2 from Flaring,tonnes,average_annual
Vietnam,2000,2020,1.22675,1.15525,-0.0714999999999999,-5.82840839616873,CO2 from Flaring,tonnes,average_annual
Indonesia,2000,2020,7.8245000000000005,3.35425,-4.47025,-57.131446098792246,CO2 from Flaring,tonnes,average_annual
Malaysia,2000,2020,52.29,94.752,42.461999999999996,81.20481927710843,CO2 from Gas,tonnes,average_annual
Thailand,2000,2020,44.44825,78.289,33.84075,76.1351684262035,CO2 from Gas,tonnes,average_annual
Indonesia,2000,2020,58.045,85.15525,27.110249999999994,46.7055732621242,CO2 from Gas,tonnes,average_annual
Singapore,2000,2020,5.92425,20.9135,14.989249999999998,253.0151495969954,CO2 from Gas,tonnes,average_annual
Vietnam,2000,2020,3.7337499999999997,15.3025,11.568750000000001,309.84265148978915,CO2 from Gas,tonnes,average_annual
